Source,Target,Weight
美国,接收,1
美国,悄悄话,1
美国,普通人,1
美国,引发,1
美国,医保,1
美国,激怒,1
美国,fyp,1
美国,护士,1
美国,充斥,1
美国,疑问,1
美国,你好,1
美国,chicago,1
美国,35,1
美国,资本,1
美国,30,1
美国,基金,1
美国,等于,1
美国,超过,1
美国,尊重,1
美国,愤怒,1
美国,财产,1
美国,法庭,1
美国,迷茫,1
美国,网友,1
美国,互动,1
美国,名声不好,1
美国,狗狗,1
美国,refugees,1
美国,缴纳,2
美国,日本,1
美国,city,1
美国,移民,1
美国,中文,1
美国,帅哥,1
美国,loveme﻿,1
美国,希望,1
美国,搭,1
喜欢,看猫,1
喜欢,听说,1
喜欢,加拿大人,1
喜欢,希望,1
喜欢,tiktokrefugee,1
喜欢,岁,1
喜欢,散步,1
喜欢,虫子,1
喜欢,零食,1
喜欢,真的,1
喜欢,照片,1
喜欢,画,1
喜欢,minecraft，,1
喜欢,作品,1
喜欢,玩,1
喜欢,知识,1
喜欢,小红书,2
喜欢,tiktok，,1
喜欢,湖南人,1
喜欢,音乐,1
喜欢,🤗,1
喜欢,目前为止,1
喜欢,white，,1
喜欢,文化,1
喜欢,东西,1
喜欢,分享,1
喜欢,noodles,1
喜欢,螺丝,1
喜欢,粉,1
喜欢,吃辣面,1
喜欢,想,1
喜欢,英国,1
喜欢,友好人士,1
喜欢,跑光,1
喜欢,我要,1
喜欢,模特,1
喜欢,创意,1
喜欢,热情,1
喜欢,应用程序,1
喜欢,告诉,1
喜欢,小说,1
喜欢,特别,1
喜欢,干部,1
喜欢,探索,1
喜欢,疯,1
喜欢,名字,1
喜欢,reputation,1
喜欢,留言,1
喜欢,时尚,1
喜欢,小伙子,1
喜欢,书籍,1
喜欢,🥰,1
喜欢,不太,1
喜欢,互联网,1
喜欢,鸽子,1
看猫,好奇,1
好奇,变化,1
好奇,美区,1
好奇,下载,1
好奇,小红书,1
好奇,不解,1
好奇,此类,1
好奇,老兵,1
文化,包容,1
文化,背景,1
文化,打扰,1
文化,美丽,1
文化,美食,1
文化,国家,1
文化,tiktok_refugee,1
文化,旅游,1
文化,语言,1
文化,应用程序,1
文化,值得,1
文化,平台,1
文化,🫶🏻,1
文化,better,1
文化,融合,1
文化,13.,1
文化,美,2
文化,差距,1
文化,文化,1
文化,出海,1
文化,知之甚少,1
文化,反向,1
文化,冲击,1
文化,奇怪,1
文化,输出,1
文化,解释,1
文化,网络,1
文化,有太多,1
文化,层面,1
文化,产出,1
文化,民族,1
文化,嘲笑,1
文化,融为一体,1
文化,融在,1
文化,年前,1
文化,现象,1
文化,背后,1
文化,心理,1
文化,传统,1
文化,抵抗,1
文化,聊聊,1
文化,爱好,1
文化,希望,1
涌入,小红书,3
涌入,tiktokrefugee,1
涌入,小红书里,1
涌入,refugee,1
涌入,担心,1
涌入,疯狂,1
涌入,全世界,1
涌入,外国人,1
涌入,douyin,1
涌入,平台,1
小红书,笑话,1
小红书,中文,1
小红书,问,1
小红书,tiktok_refugee,1
小红书,omens,1
小红书,你好,1
小红书,来到,1
小红书,tiktok,1
小红书,refugee,1
小红书,想,1
小红书,北美版,1
小红书,哈哈哈,1
小红书,like,1
小红书,better,1
小红书,回去,1
小红书,难民,1
小红书,普通话,1
小红书,外国人,1
小红书,foreigner,1
小红书,wassup,1
小红书,let,1
小红书,tiktokrefugee,1
小红书,关注,1
小红书,变化,1
小红书,下滑,1
小红书,第一次,1
小红书,推送,1
小红书,博主早,1
小红书,积累,1
小红书,粉丝,1
小红书,原本,1
小红书,目标,1
小红书,保留,1
小红书,平台,1
小红书,帮,1
小红书,选,1
小红书,下载,1
小红书,解释一下,1
小红书,网上,1
小红书,ttrefugee,1
小红书,新鲜,1
小红书,英语,1
小红书,游学,1
小红书,不想,1
小红书,女儿,1
小红书,是因为,1
小红书,说,1
小红书,离不开,1
小红书,社交,1
小红书,lesson,1
小红书,follow,1
小红书,+hello,1
小红书,推广,1
小红书,hello,1
小红书,离开,1
小红书,拥抱,1
小红书,摇滚,1
小红书,社媒,1
小红书,平替,1
小红书,一篇,1
小红书,笔记,1
小红书,打开,1
小红书,】app,1
小红书,流量,1
小红书,稳,1
小红书,称赞,1
小红书,算法,1
小红书,意识,1
小红书,潜意识,1
小红书,深刻,1
小红书,ui,1
小红书,入驻,1
小红书,晒晒,1
小红书,头像,1
小红书,tt,1
小红书,重开,1
小红书,原因,1
小红书,霸占,1
小红书,完,1
小红书,白人,1
小红书,爱国,1
小红书,luigi,1
小红书,这是,1
小红书,fyp,1
小红书,轻易,1
小红书,注册,1
小红书,幸灾乐祸,1
小红书,发展,1
小红书,感觉,1
小红书,净土,1
小红书,dm,1
小红书,♡,1
小红书,年前,1
俚语,称猫,1
俚语,类似,1
俚语,谢谢,1
俚语,常用,1
